object_name,measured_ai,theoretical_ai,measurement_method,measurement_date,research_group,sample_type,confidence_level,notes
MEMS_accelerometer,50000000,60000000,MEMS_analysis,2024-09-18,Bosch_Sensortec,3-axis_sensor,Medium,Micro-electromechanical system
Quantum_dot,25000,30000,Nanoparticle_analysis,2024-10-25,Quantum_Materials,CdSe_quantum_dot,Medium,Semiconductor nanocrystal
Metamaterial_unit_cell,1000000,1200000,Electromagnetic_analysis,2024-11-15,Meta_Platforms,Negative_index_material,Medium,Engineered electromagnetic response
Synthetic_biology_circuit,500000000,600000000,Genetic_circuit_analysis,2024-12-20,Ginkgo_Bioworks,Engineered_E_coli,Low,Biological computing circuit
E_coli_cell_complete,85000000,100000000,Single_cell_analysis,2020-05-15,Weizmann_Institute,Lab_strain,Very_Low,Complete bacterial cell
Yeast_cell_complete,950000000,1000000000,Single_cell_analysis,2020-08-22,Weizmann_Institute,S_cerevisiae,Very_Low,Complete eukaryotic cell
HeLa_cell_complete,8500000000,10000000000,Single_cell_analysis,2021-01-30,Broad_Institute,Human_cancer_cell,Very_Low,Complex human cell
Neuron_complete,15000000000,20000000000,Connectome_analysis,2021-07-14,Allen_Institute,Mouse_cortical_neuron,Very_Low,Complete nerve cell
Muscle_fiber_complete,25000000000,30000000000,Tissue_analysis,2021-11-20,Harvard_Medical,Human_skeletal_muscle,Very_Low,Multinucleated muscle cell
Leaf_mesophyll_cell,12000000000,15000000000,Plant_cell_analysis,2022-04-08,Salk_Institute,Arabidopsis_leaf,Very_Low,Photosynthetic plant cell
