name,type,assembly_index,domain,invention_date,inventor_culture,description,components,complexity_estimate
Radio,communication_system,10000000,technological,1901_CE,Marconi,Wireless communication,Transmitter+receiver+antenna+tuning,Wireless broadcasting
Television,information_system,100000000,technological,1926_CE,Baird,Visual broadcasting,Camera+transmitter+receiver+display,Visual communication
Computer,information_system,10000000000,technological,1940s_CE,Multiple inventors,Electronic calculation,Processor+memory+storage+input/output,Information processing
Transistor,electronic_component,1000000,technological,1947_CE,Bell Labs,Electronic switch,Semiconductor+gate+source+drain,Electronic revolution
Integrated circuit,electronic_system,100000000,technological,1958_CE,Kilby/Noyce,Miniaturized electronics,Transistors+resistors+capacitors+chip,Microelectronics
Microprocessor,computational_system,1000000000,technological,1971_CE,Intel,Computer on a chip,CPU_core+cache+buses+packaging,Computer revolution
Personal computer,computational_system,10000000000,technological,1975_CE,Multiple,Individual computing,Microprocessor+memory+storage+interface,Personal computing
Internet,network_system,100000000000000,technological,1969_CE,ARPANET,Global network,Routers+servers+cables+protocols,Global connectivity
Smartphone,communication_system,10000000000000,technological,2007_CE,Apple,Pocket computer/phone,Processor+memory+sensors+display+radio,Mobile computing
World Wide Web,information_system,1000000000000000,technological,1989_CE,Berners-Lee,Global information system,Servers+browsers+HTML+HTTP+URLs,Global information
Laser,optical_device,10000000,technological,1960_CE,Maiman,Coherent light source,Gain_medium+mirrors+pump+beam,Coherent optics
Solar panel,energy_system,50000000,technological,1954_CE,Bell Labs,Photovoltaic converter,Silicon_cells+glass+frame+wiring,Solar energy conversion
Nuclear reactor,energy_system,1000000000000,technological,1942_CE,Fermi,Controlled nuclear fission,Fuel+moderator+control_rods+containment,Nuclear power
Satellite,space_system,1000000000,technological,1957_CE,Soviet Union,Orbital communication,Spacecraft+solar_panels+antennas+electronics,Space technology
Rocket engine,propulsion_system,500000000,technological,1926_CE,Goddard,Reaction propulsion,Combustion_chamber+nozzle+fuel_system,Space propulsion
Space station,space_habitat,10000000000000,technological,1971_CE,Soviet Union,Orbital laboratory,Modules+life_support+solar_arrays+docking,Space habitation
GPS system,navigation_system,100000000000000,technological,1978_CE,US Military,Global positioning,Satellites+receivers+atomic_clocks+computers,Global navigation
MRI machine,medical_device,10000000000,technological,1977_CE,Damadian,Magnetic resonance imaging,Magnet+RF_coils+computer+software,Medical imaging
CT scanner,medical_device,1000000000,technological,1972_CE,Hounsfield,X-ray computed tomography,X-ray_source+detectors+computer+reconstruction,Medical diagnosis
DNA sequencer,scientific_instrument,100000000000,technological,1977_CE,Sanger/Gilbert,Genetic code reader,Enzymes+fluorescence+detectors+computer,Genomics revolution
PCR machine,laboratory_instrument,100000000,technological,1983_CE,Mullis,DNA amplification,Thermal_cycler+enzymes+primers+detection,Molecular biology
Electron microscope,scientific_instrument,1000000000,technological,1931_CE,Ruska,High-resolution imaging,Electron_gun+lenses+detector+vacuum,Nanoscale imaging
Particle accelerator,physics_instrument,100000000000000,technological,1930_CE,Lawrence,High-energy physics,Magnets+RF_cavities+beam_pipes+detectors,Fundamental physics
3D printer,manufacturing_system,1000000000,technological,1983_CE,Hull,Additive manufacturing,Print_head+materials+software+platform,Digital manufacturing
Robot,automation_system,1000000000,technological,1954_CE,Devol,Programmable automation,Actuators+sensors+controller+software,Industrial automation
Artificial heart,medical_device,10000000000,technological,1957_CE,Kolff,Mechanical heart replacement,Pumps+valves+power+controls,Artificial organs
Pacemaker,medical_device,100000000,technological,1958_CE,Senning,Heart rhythm control,Pulse_generator+leads+battery+electronics,Cardiac therapy
Cochlear implant,medical_device,500000000,technological,1961_CE,House,Artificial hearing,Microphone+processor+stimulator+electrodes,Sensory restoration
Brain-computer interface,neural_device,10000000000000,technological,1970s_CE,Multiple,Direct neural control,Electrodes+amplifiers+computer+software,Neural technology
Quantum computer,computational_system,1000000000000000,technological,1998_CE,Multiple,Quantum information processing,Qubits+control+readout+error_correction,Quantum computing
CRISPR system,biotechnology_tool,100000000000,technological,2012_CE,Doudna/Charpentier,Gene editing tool,Guide_RNA+Cas_protein+delivery+targets,Genetic engineering
Fusion reactor,energy_system,10000000000000000,technological,2022_CE,Multiple,Controlled nuclear fusion,Magnetic_confinement+plasma+heating+control,Fusion power
Artificial general intelligence,ai_system,1000000000000000000,technological,Future,Unknown,Human-level AI,Neural_networks+training+inference+integration,AGI system
Space elevator,transport_system,100000000000000000,technological,Concept,Theoretical,Orbital transport,Tether+counterweight+climbers+power,Space access
Dyson sphere,energy_system,10000000000000000000,technological,Concept,Theoretical,Stellar energy capture,Solar_collectors+structure+transmission,Stellar engineering
Molecular assembler,manufacturing_system,1000000000000000000,technological,Concept,Theoretical,Atomic precision manufacturing,Manipulators+feedstock+software+products,Molecular manufacturing
Digital consciousness,information_system,10000000000000000000,technological,Concept,Theoretical,Uploaded human mind,Neural_simulation+storage+processing+interface,Mind uploading
